CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3500105,Adamantina,1357,1,9,7,128,430,468,95,40,21,11,12,39,98,1358
3500204,Adolfo,176,0,49,28,48,34,14,2,0,0,0,0,0,1,176
3500303,Aguaí,5,1,2,1,1,1,1,0,0,0,0,0,0,0,6
3500402,Águas da Prata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500501,Águas de Lindóia,11,11,0,0,1,6,12,3,0,0,0,0,0,0,22
3500550,Águas de Santa Bárbara,46,4,0,0,1,12,32,2,2,1,0,0,0,0,50
3500600,Águas de São Pedro,16,8,0,1,3,11,6,3,0,0,0,0,0,0,24
3500709,Agudos,253,7,2,0,35,76,96,20,13,5,2,1,4,6,260
3500758,Alambari,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3500808,Alfredo Marcondes,189,116,5,1,0,6,20,14,5,4,2,7,82,159,305
3500907,Altair,31,8,3,5,16,13,1,0,1,0,0,0,0,0,39
3501004,Altinópolis,6,4,0,0,2,5,3,0,0,0,0,0,0,0,10
3501103,Alto Alegre,329,10,104,77,99,37,22,0,0,0,0,0,0,0,339
3501152,Alumínio,4,3,0,0,4,2,1,0,0,0,0,0,0,0,7
3501202,Álvares Florence,437,1,34,101,183,78,17,8,0,0,0,1,1,15,438
3501301,Álvares Machado,651,7,4,2,5,21,65,21,31,25,27,41,130,286,658
3501400,Álvaro de Carvalho,105,2,0,2,9,48,34,12,1,1,0,0,0,0,107
3501509,Alvinlândia,14,2,0,0,0,3,12,0,0,0,0,0,1,0,16
3501608,Americana,4299,11,10,76,819,1667,1313,253,86,35,17,19,6,9,4310
3501707,Américo Brasiliense,3390,20,6,113,798,1448,836,127,48,16,4,6,3,5,3410
3501806,Américo de Campos,418,10,8,111,140,111,49,8,0,0,0,0,1,0,428
3501905,Amparo,20,8,0,0,1,11,12,3,0,0,1,0,0,0,28
3502002,Analândia,39,6,0,0,0,9,24,10,0,1,0,0,0,1,45
3502101,Andradina,1960,1,9,35,165,662,843,187,21,8,3,7,11,10,1961
3502200,Angatuba,8,3,1,0,2,3,2,0,3,0,0,0,0,0,11
3502309,Anhembi,8,0,1,0,1,3,3,0,0,0,0,0,0,0,8
3502408,Anhumas,289,3,0,2,17,118,85,49,11,4,0,1,3,2,292
3502507,Aparecida,41,1,0,1,5,10,18,5,1,0,0,1,0,1,42
3502606,Aparecida d'Oeste,376,10,3,21,151,146,49,7,1,7,0,1,0,0,386
3502705,Apiaí,3,2,0,1,2,1,0,0,0,0,0,0,1,0,5
3502754,Araçariguama,1,4,0,0,1,3,1,0,0,0,0,0,0,0,5
3502804,Araçatuba,2811,11,66,142,746,1079,422,172,63,32,26,36,19,19,2822
3502903,Araçoiaba da Serra,14,4,0,0,6,2,7,1,0,0,0,1,0,1,18
3503000,Aramina,9,1,0,0,4,5,1,0,0,0,0,0,0,0,10
3503109,Arandu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503158,Arapeí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503208,Araraquara,20804,124,152,731,5309,8055,4923,1228,322,85,65,26,18,14,20928
3503307,Araras,2917,20,36,179,746,1169,692,88,13,7,3,1,3,0,2937
3503356,Arco-Íris,104,2,0,2,7,19,27,14,8,3,9,2,7,8,106
3503406,Arealva,40,1,0,0,0,3,10,5,11,7,4,0,1,0,41
3503505,Areias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503604,Areiópolis,14,1,0,1,2,4,4,2,0,2,0,0,0,0,15
3503703,Ariranha,66,0,2,3,9,23,19,7,2,0,0,0,0,1,66
3503802,Artur Nogueira,265,7,0,15,37,89,73,43,8,5,0,1,1,0,272
3503901,Arujá,85,2,0,3,4,40,35,5,0,0,0,0,0,0,87
3503950,Aspásia,195,4,4,19,36,80,52,6,2,0,0,0,0,0,199
3504008,Assis,463,3,15,8,41,121,146,42,27,23,11,9,9,14,466
3504107,Atibaia,1115,6,5,4,24,279,344,167,93,60,49,40,30,26,1121
3504206,Auriflama,284,6,3,8,66,187,20,1,4,0,0,0,1,0,290
3504305,Avaí,41,2,0,3,11,1,2,7,4,8,2,2,2,1,43
3504404,Avanhandava,297,0,1,5,89,121,31,29,8,8,1,1,0,3,297
3504503,Avaré,93,1,0,2,4,42,32,7,5,2,0,0,0,0,94
3504602,Bady Bassitt,171,168,41,37,58,105,33,32,13,4,3,4,5,4,339
3504701,Balbinos,6,0,0,0,0,0,1,1,0,1,0,2,1,0,6
3504800,Bálsamo,448,0,2,26,137,214,49,13,2,0,0,2,2,1,448
3504909,Bananal,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2
3505005,Barão de Antonina,93,2,0,0,6,40,47,1,0,0,1,0,0,0,95
3505104,Barbosa,73,2,5,4,26,39,1,0,0,0,0,0,0,0,75
3505203,Bariri,14,6,0,0,0,5,11,4,0,0,0,0,0,0,20
3505302,Barra Bonita,272,71,0,2,34,177,100,24,6,0,0,0,0,0,343
3505351,Barra do Chapéu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505401,Barra do Turvo,12,0,0,1,0,3,3,2,2,1,0,0,0,0,12
3505500,Barretos,2018,3,6,18,138,658,680,224,235,29,12,7,7,7,2021
3505609,Barrinha,383,4,2,6,54,184,84,36,14,3,2,0,0,2,387
3505708,Barueri,45,13,4,7,11,13,15,5,3,0,0,0,0,0,58
3505807,Bastos,652,0,1,1,62,193,248,81,29,14,7,1,0,15,652
3505906,Batatais,1245,92,0,10,77,435,620,177,13,2,2,0,0,1,1337
3506003,Bauru,3820,11,26,54,508,1349,1057,332,194,138,49,19,36,69,3831
3506102,Bebedouro,526,2,0,6,83,204,181,42,5,6,0,1,0,0,528
3506201,Bento de Abreu,58,9,1,0,6,10,29,15,6,0,0,0,0,0,67
3506300,Bernardino de Campos,7,0,0,0,2,1,2,2,0,0,0,0,0,0,7
3506359,Bertioga,144,2,4,0,4,18,40,39,19,10,2,3,2,5,146
3506409,Bilac,161,2,7,16,50,76,9,3,1,0,0,0,0,1,163
3506508,Birigui,9546,90,77,308,2463,3569,2090,594,276,92,70,38,35,24,9636
3506607,Biritiba Mirim,49,5,2,0,3,30,16,1,1,0,0,0,0,1,54
3506706,Boa Esperança do Sul,755,3,0,0,27,133,348,131,41,11,5,6,24,32,758
3506805,Bocaina,309,0,0,2,53,129,104,17,2,0,0,0,1,1,309
3506904,Bofete,2,2,0,0,0,1,1,1,1,0,0,0,0,0,4
3507001,Boituva,84,4,2,1,15,34,21,6,2,1,1,1,1,3,88
3507100,Bom Jesus dos Perdões,56,0,0,0,1,10,16,7,5,5,5,2,3,2,56
3507159,Bom Sucesso de Itararé,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3507209,Borá,64,2,17,22,14,7,5,1,0,0,0,0,0,0,66
3507308,Boracéia,18,1,0,0,0,2,10,5,2,0,0,0,0,0,19
3507407,Borborema,1528,5,4,28,247,641,493,91,4,7,2,6,4,6,1533
3507456,Borebi,133,34,1,2,32,92,29,2,3,4,1,0,1,0,167
3507506,Botucatu,244,28,2,1,50,92,77,16,15,3,4,3,2,7,272
3507605,Bragança Paulista,234,17,1,1,14,95,85,24,16,2,6,4,3,0,251
3507704,Braúna,295,0,27,80,104,53,27,2,1,0,1,0,0,0,295
3507753,Brejo Alegre,146,1,2,7,67,68,1,1,1,0,0,0,0,0,147
3507803,Brodowski,64,2,0,0,9,34,8,7,2,2,2,2,0,0,66
3507902,Brotas,321,24,0,2,15,121,114,48,21,4,6,9,4,1,345
3508009,Buri,3,1,1,1,0,1,0,1,0,0,0,0,0,0,4
3508108,Buritama,1654,3,471,474,401,178,73,15,13,20,4,6,1,1,1657
3508207,Buritizal,43,1,1,4,9,13,15,0,2,0,0,0,0,0,44
3508306,Cabrália Paulista,43,2,0,0,6,23,14,2,0,0,0,0,0,0,45
3508405,Cabreúva,33,2,2,0,1,11,7,6,2,4,0,0,0,2,35
3508504,Caçapava,92,9,1,1,8,28,42,13,4,1,2,0,1,0,101
3508603,Cachoeira Paulista,15,0,1,0,2,4,3,1,1,2,1,0,0,0,15
3508702,Caconde,5,0,1,0,0,1,1,1,0,0,0,0,1,0,5
3508801,Cafelândia,79,1,3,0,15,30,26,5,0,1,0,0,0,0,80
3508900,Caiabu,40,26,0,0,0,12,26,3,6,2,5,6,6,0,66
3509007,Caieiras,80,2,0,0,14,42,22,1,1,0,0,0,1,1,82
3509106,Caiuá,47,1,0,0,4,11,21,8,1,3,0,0,0,0,48
3509205,Cajamar,48,91,1,5,17,36,51,17,6,2,0,3,1,0,139
3509254,Cajati,3,0,1,0,1,0,1,0,0,0,0,0,0,0,3
3509304,Cajobi,231,3,2,1,24,68,88,27,5,6,4,3,5,1,234
3509403,Cajuru,3,0,1,0,1,0,1,0,0,0,0,0,0,0,3
3509452,Campina do Monte Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3509502,Campinas,11241,34,57,145,1167,4243,3757,1057,363,200,102,73,45,66,11275
3509601,Campo Limpo Paulista,102,4,3,3,9,36,36,8,4,2,0,2,1,2,106
3509700,Campos do Jordão,0,4,1,1,1,1,0,0,0,0,0,0,0,0,4
3509809,Campos Novos Paulista,207,0,1,2,34,84,70,13,2,0,1,0,0,0,207
3509908,Cananéia,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2
3509957,Canas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510005,Cândido Mota,53,7,3,7,5,14,13,8,2,0,2,0,4,2,60
3510104,Cândido Rodrigues,53,0,0,0,0,0,5,12,12,12,8,3,1,0,53
3510153,Canitar,53,6,0,0,2,30,15,7,3,1,1,0,0,0,59
3510203,Capão Bonito,18,9,0,0,9,10,4,2,0,0,0,0,1,1,27
3510302,Capela do Alto,10,13,0,0,2,2,10,5,1,2,0,0,0,1,23
3510401,Capivari,126,1,1,1,10,40,59,13,2,0,1,0,0,0,127
3510500,Caraguatatuba,217,7,16,4,13,35,41,38,23,11,5,10,21,7,224
3510609,Carapicuíba,148,4,2,3,26,51,47,16,3,2,0,0,2,0,152
3510708,Cardoso,223,1,13,23,81,80,15,1,2,0,1,2,4,2,224
3510807,Casa Branca,4,1,1,0,0,0,3,0,1,0,0,0,0,0,5
3510906,Cássia dos Coqueiros,11,5,1,0,3,5,5,2,0,0,0,0,0,0,16
3511003,Castilho,570,1,5,30,83,160,162,29,20,20,10,6,18,28,571
3511102,Catanduva,3695,36,40,95,611,1293,1010,355,113,80,34,45,26,29,3731
3511201,Catiguá,258,3,0,8,40,119,72,13,2,0,2,0,3,2,261
3511300,Cedral,731,115,26,19,85,243,278,80,51,28,8,12,8,8,846
3511409,Cerqueira César,11,1,0,0,0,6,3,0,1,1,0,0,1,0,12
3511508,Cerquilho,220,27,0,0,41,92,90,9,8,2,1,1,2,1,247
3511607,Cesário Lange,175,3,0,2,17,15,43,35,47,18,0,1,0,0,178
3511706,Charqueada,555,4,0,11,88,300,116,27,9,5,2,0,1,0,559
3511904,Clementina,240,3,6,21,115,50,45,6,0,0,0,0,0,0,243
3512001,Colina,156,8,2,4,21,32,86,7,2,4,1,4,0,1,164
3512100,Colômbia,210,4,0,0,31,55,54,66,7,0,1,0,0,0,214
3512209,Conchal,33,1,2,1,1,7,20,2,1,0,0,0,0,0,34
3512308,Conchas,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2
3512407,Cordeirópolis,546,3,12,10,61,136,165,84,27,20,5,14,10,5,549
3512506,Coroados,469,7,3,34,176,177,66,11,4,2,0,1,0,2,476
3512605,Coronel Macedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3512704,Corumbataí,18,3,0,0,4,3,6,6,1,0,0,0,0,1,21
3512803,Cosmópolis,505,8,1,6,79,217,168,31,7,2,1,0,1,0,513
3512902,Cosmorama,233,4,184,30,1,1,1,0,0,0,0,3,7,10,237
3513009,Cotia,246,13,0,2,25,124,96,6,4,0,2,0,0,0,259
3513108,Cravinhos,51,0,0,1,5,18,16,9,1,0,0,0,0,1,51
3513207,Cristais Paulista,56,4,0,2,16,24,15,3,0,0,0,0,0,0,60
3513306,Cruzália,26,0,0,1,5,16,2,1,0,1,0,0,0,0,26
3513405,Cruzeiro,15,0,4,0,3,1,3,0,0,1,0,1,0,2,15
3513504,Cubatão,47,0,10,3,1,3,10,3,3,4,3,2,2,3,47
3513603,Cunha,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3513702,Descalvado,842,6,3,6,101,330,309,75,21,1,0,2,0,0,848
3513801,Diadema,154,21,1,5,21,58,68,7,3,2,0,8,2,0,175
3513850,Dirce Reis,235,7,24,79,99,29,8,3,0,0,0,0,0,0,242
3513900,Divinolândia,7,4,0,0,0,10,1,0,0,0,0,0,0,0,11
3514007,Dobrada,256,15,0,1,11,66,141,44,4,3,1,0,0,0,271
3514106,Dois Córregos,58,4,0,0,3,30,21,3,1,1,2,0,1,0,62
3514205,Dolcinópolis,216,5,0,4,49,64,94,4,5,1,0,0,0,0,221
3514304,Dourado,209,9,1,0,4,50,106,38,15,2,0,1,0,1,218
3514403,Dracena,1754,17,48,66,405,639,409,95,48,36,11,2,2,10,1771
3514502,Duartina,670,1,3,46,271,279,72,0,0,0,0,0,0,0,671
3514601,Dumont,208,2,3,2,8,45,106,31,3,4,6,2,0,0,210
3514700,Echaporã,34,2,0,0,0,4,13,0,0,0,0,0,3,16,36
3514809,Eldorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3514908,Elias Fausto,10,1,0,2,1,5,3,0,0,0,0,0,0,0,11
3514924,Elisiário,179,4,0,2,29,68,64,11,5,4,0,0,0,0,183
3514957,Embaúba,251,2,0,11,79,131,31,1,0,0,0,0,0,0,253
3515004,Embu das Artes,48,8,0,3,10,17,18,5,1,1,0,0,0,1,56
3515103,Embu-Guaçu,6,1,1,0,0,3,1,0,1,0,0,0,1,0,7
3515129,Emilianópolis,19,2,0,0,0,3,10,0,0,0,0,0,7,1,21
3515152,Engenheiro Coelho,43,0,5,6,2,8,9,6,1,2,2,0,1,1,43
3515186,Espírito Santo do Pinhal,674,8,0,6,106,268,263,25,9,2,2,1,0,0,682
3515194,Espírito Santo do Turvo,187,5,0,9,85,62,34,2,0,0,0,0,0,0,192
3515202,Estrela d'Oeste,368,2,1,1,52,133,141,30,8,3,0,0,0,1,370
3515301,Estrela do Norte,37,0,1,0,1,13,14,6,0,0,0,1,0,1,37
3515350,Euclides da Cunha Paulista,654,0,1,19,47,159,246,109,34,20,3,11,5,0,654
3515400,Fartura,72,5,0,0,0,22,41,7,5,0,0,0,0,2,77
3515509,Fernandópolis,914,1,15,59,181,249,216,137,43,7,3,1,3,1,915
3515608,Fernando Prestes,65,5,0,0,4,23,22,4,4,2,3,3,2,3,70
3515657,Fernão,16,8,0,0,7,9,7,0,0,1,0,0,0,0,24
3515707,Ferraz de Vasconcelos,194,4,3,1,7,46,103,33,2,1,0,2,0,0,198
3515806,Flora Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3515905,Floreal,295,4,6,29,104,102,49,7,2,0,0,0,0,0,299
3516002,Flórida Paulista,228,3,3,2,14,81,76,24,13,10,0,1,3,4,231
3516101,Florínea,5,3,1,0,0,3,0,0,2,2,0,0,0,0,8
3516200,Franca,7073,36,54,478,2776,2060,1471,177,32,18,6,9,9,19,7109
3516309,Francisco Morato,52,0,1,1,6,25,17,0,1,1,0,0,0,0,52
3516408,Franco da Rocha,84,6,0,0,9,29,29,12,4,1,3,1,0,2,90
3516507,Gabriel Monteiro,476,2,54,91,174,101,42,13,3,0,0,0,0,0,478
3516606,Gália,305,2,8,42,149,86,20,0,0,1,0,0,0,1,307
3516705,Garça,8042,22,31,192,2514,3437,1495,214,69,33,12,28,18,21,8064
3516804,Gastão Vidigal,296,2,85,127,76,9,0,0,0,0,0,0,1,0,298
3516853,Gavião Peixoto,181,84,0,0,12,119,101,24,3,4,2,0,0,0,265
3516903,General Salgado,1201,4,27,118,476,431,132,14,2,3,0,1,1,0,1205
3517000,Getulina,32,1,1,1,6,5,13,2,2,0,1,1,1,0,33
3517109,Glicério,332,2,3,4,59,142,104,18,2,2,0,0,0,0,334
3517208,Guaiçara,98,1,0,4,9,34,33,7,3,1,0,0,1,7,99
3517307,Guaimbê,126,0,1,0,13,59,29,11,3,6,1,2,0,1,126
3517406,Guaíra,454,0,0,1,26,101,137,79,51,30,9,7,6,7,454
3517505,Guapiaçu,572,23,13,19,89,285,135,21,5,2,4,6,6,10,595
3517604,Guapiara,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3517703,Guará,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3517802,Guaraçaí,1340,9,3,63,383,610,234,40,4,8,2,0,0,2,1349
3517901,Guaraci,153,5,101,38,13,2,1,1,0,0,0,2,0,0,158
3518008,Guarani d'Oeste,41,0,0,0,0,4,0,0,1,0,0,5,8,23,41
3518107,Guarantã,18,0,5,1,1,6,2,2,0,0,0,1,0,0,18
3518206,Guararapes,809,1,8,10,87,279,262,86,44,17,6,5,3,3,810
3518305,Guararema,15,0,0,0,2,4,7,1,0,0,1,0,0,0,15
3518404,Guaratinguetá,50,1,3,4,9,5,5,8,2,4,0,5,2,4,51
3518503,Guareí,1,3,0,0,0,3,1,0,0,0,0,0,0,0,4
3518602,Guariba,1046,26,1,13,81,305,478,185,7,1,0,0,0,1,1072
