Variavel,R2
V00001,0.003957425123307878
V00002,0.0013884715402329162
V00003,0.0036124384293196865
V00004,0.003957425123307878
V00005,0.004241122592242408
V00006,0.0016372727971279977
V00007,0.0034223676414762982
V00047,0.004926865333141572
V00048,0.006578989486315301
V00049,0.00224901332566374
V00050,0.001956869611934975
V00052,0.005621181003578668
V00111,0.0037547268827983205
V00112,0.00804241067637479
V00113,0.02625641279889457
V00114,0.04053352170453428
V00115,0.015186669177909118
V00116,0.009064671352802534
V00117,0.004237933602244892
V00118,0.0031364299242717664
V00119,0.00459873415611145
V00120,0.014534354325704935
V00121,0.026614137554020534
V00122,0.04110932093239328
V00123,0.014736206277766839
V00124,0.008654587647191847
V00125,0.0038872848490772993
V00126,0.0029981496506664707
V00127,0.00622969335199397
V00128,0.0017412264113710885
V00129,0.004416148486753979
V00130,0.006907937490148508
V00131,0.002966423592607903
V00132,0.000680553538158879
V00133,0.0026511541959269858
V00134,0.0035615667895365632
V00135,0.002250949934379909
V00136,0.00023802077423051848
V00137,8.259256500808831e-05
V00138,0.0033875187314499344
V00139,0.0035054818399965493
V00140,0.001271901640985007
V00141,0.00103708740090791
V00142,0.0039182508822385165
V00199,0.003934354312450927
V00200,0.014341054369063189
V00201,0.015981724367930994
V00309,0.003509164040606194
V00310,0.009471259167020185
V00311,0.032900808052396924
V00312,0.03681384629520201
V00313,0.011184751898021705
V00314,0.003315020128530799
V00315,0.003202159186815323
V00316,0.006147618174051739
V00397,0.0036544316960495093
V00398,0.006243073314583292
V00399,0.0023450618069136286
V00400,0.008875722159927601
V00401,0.0018776178136590271
V00402,0.006935472426973344
V00463,0.005610051242748271
V00464,0.0384178746762196
V00465,0.016966610017127515
V00466,0.038721609670975154
V00467,4.265943251247073e-05
V00468,0.012352578221790922
V00469,0.00019450997495151778
V00470,0.0016754421160249944
V00508,0.004016958960859074
V00509,0.010518612158462615
V00510,0.02653694232320214
V00511,0.03948255611594642
V00512,0.01678131790593973
V00513,0.010621298275797164
V00514,0.005517340051739983
V00515,0.003339114980336788
V00540,0.004216635633430665
V00541,0.013463252792349167
V00542,0.01633111136198717
V00580,0.0037525749241048567
V00581,0.009201504656915938
V00582,0.03192608392317575
V00583,0.03529067609358594
V00584,0.011535460774496964
V00585,0.0033534009010969257
V00586,0.0035055631464115944
V00587,0.005534193237574536
V00612,0.003921529535135249
V00613,0.006494903474135616
V00614,0.0036983133499691734
V00615,0.003280753689210658
V00616,0.002043303492560322
V00617,0.007433389324782658
V00636,0.007372544888348598
V00637,0.037932183052956425
V00638,0.007635615420099495
V00639,0.03409925644862144
V00001_idx,0.0
V00002_idx,3.444321392209737e-05
V00003_idx,3.528728752222321e-05
V00004_idx,0.0
V00005_idx,0.12572919107201963
V00006_idx,2.8343126006524777e-05
V00007_idx,1.1288713057000521e-05
V00047_idx,0.04647496433251319
V00048_idx,0.030005315886065698
V00049_idx,0.03705879367189391
V00050_idx,0.010024620503192527
V00052_idx,0.005387618976469999
V00111_idx,0.005022921476460995
V00112_idx,0.062053692442701425
V00113_idx,0.03207958752260587
V00114_idx,0.056519332158027624
V00115_idx,0.013588205302081269
V00116_idx,0.007167869683212924
V00117_idx,0.00887159427356976
V00118_idx,0.0168231933491253
V00119_idx,0.04553962024443681
V00120_idx,0.06839106599096634
V00121_idx,0.03188199734112407
V00122_idx,0.05628837509845963
V00123_idx,0.012806249742791098
V00124_idx,0.006819485031193118
V00125_idx,0.008530479508953692
V00126_idx,0.01467469472663474
V00127_idx,0.02612132148058033
V00128_idx,0.005006906865102079
V00129_idx,0.0030957572035908987
V00130_idx,0.009633244277443498
V00131_idx,0.002898828977165313
V00132_idx,0.0007491665114058854
V00133_idx,0.002023291320965237
V00134_idx,0.004949474628725636
V00135_idx,0.03723692215403229
V00136_idx,0.001043859089988719
V00137_idx,0.0005322428250896794
V00138_idx,0.0018989708322817433
V00139_idx,0.0026547108113911255
V00140_idx,0.0007489570453609318
V00141_idx,0.00046398100745936866
V00142_idx,0.0011533292994020394
V00199_idx,0.012255302508060395
V00200_idx,0.0018598989961706724
V00201_idx,0.01859162824267513
V00309_idx,0.03414063894313235
V00310_idx,0.0016552003316114838
V00311_idx,0.031501655380019145
V00312_idx,0.006164196385215592
V00313_idx,0.031028415419347977
V00314_idx,0.050840359138944025
V00315_idx,0.02375301588126455
V00316_idx,0.004011684141555505
V00397_idx,0.010947242503507648
V00398_idx,0.03598382676183398
V00399_idx,0.036190963962776546
V00400_idx,0.04689563243035488
V00401_idx,0.028163504242600723
V00402_idx,0.009122938717598061
V00463_idx,0.0001254376872192875
V00464_idx,0.005437162550713137
V00465_idx,2.5914408462113236e-05
V00466_idx,0.004686036217349754
V00467_idx,0.0022558749133472222
V00468_idx,0.007379816772646652
V00469_idx,0.0005313391961542235
V00470_idx,0.0014735165008664675
V00508_idx,0.004110571942520069
V00509_idx,0.055503726324586555
V00510_idx,0.03370705478504876
V00511_idx,0.05764375230115226
V00512_idx,0.01444412995053923
V00513_idx,0.024088029699044444
V00514_idx,0.011743897719496688
V00515_idx,0.026685518560540356
V00540_idx,0.10370770133630625
V00541_idx,0.0035369305265935402
V00542_idx,0.024758431064932807
V00580_idx,0.0083091444657174
V00581_idx,0.003353705823249342
V00582_idx,0.035377334745225975
V00583_idx,0.0077462450463382515
V00584_idx,0.03728949782337143
V00585_idx,0.054434453740919486
V00586_idx,0.03449954912252251
V00587_idx,0.007164418248215565
V00612_idx,0.00055664466615446
V00613_idx,0.03583186386477455
V00614_idx,0.03428949046485019
V00615_idx,0.058038872325954505
V00616_idx,0.025800225505196894
V00617_idx,0.008358668054034957
V00636_idx,0.00017134963635467848
V00637_idx,0.006887354963169168
V00638_idx,0.0024760432454391523
V00639_idx,0.02489599959862876
