CRS,UVIS,DA,N,INC
CENTRO,Santa Cecília,BOM RETIRO,21,"53,10"
CENTRO,Santa Cecília,CONSOLAÇÃO,66,"115,40"
CENTRO,Santa Cecília,SANTA CECÍLIA,74,"83,40"
CENTRO,Sé,BELA VISTA,76,"103,50"
CENTRO,Sé,CAMBUCI,46,"112,20"
CENTRO,Sé,LIBERDADE,50,"68,50"
CENTRO,Sé,REPUBLICA,32,"51,50"
CENTRO,Sé,SÉ,130,"48,00"
LESTE,Cidade Tiradentes,CIDADE TIRADENTES,151,"62,90"
LESTE,Ermelino Matarazzo,ERMELINO,156,"130,60"
LESTE,Ermelino Matarazzo,PONTE RASA,71,"79,40"
LESTE,Guaianases,GUAIANASES,207,"186,50"
LESTE,Guaianases,LAJEADO,263,"148,80"
LESTE,Itaim Paulista,ITAIM PAULISTA,232,"97,80"
LESTE,Itaim Paulista,VILA CURUÇA,109,"70,40"
LESTE,Itaquera,CIDADE LIDER,108,"79,10"
LESTE,Itaquera,ITAQUERA,256,"120,30"
LESTE,Itaquera,JOSÉ BONIFÁCIO,62,"44,80"
LESTE,Itaquera,PARQUE DO CARMO,64,"88,50"
LESTE,São Mateus,IGUATEMI,45,"29,30"
LESTE,São Mateus,SÃO MATEUS,88,"56,40"
LESTE,São Mateus,SÃO RAFAEL,226,"139,20"
LESTE,São Miguel,JARDIM HELENA,78,"57,10"
LESTE,São Miguel,SÃO MIGUEL,65,"73,10"
LESTE,São Miguel,VILA JACUI,100,"68,20"
NORTE,Cachoeirinha,CACHOEIRINHA,276,"187,30"
NORTE,Cachoeirinha,CASA VERDE,74,"86,10"
NORTE,Cachoeirinha,LIMÃO,72,"90,40"
NORTE,Freguesia do Ó/Brasilândia,BRASILANDIA,313,"109,70"
NORTE,Freguesia do Ó/Brasilândia,FREGUESIA DO O,123,"87,90"
NORTE,Jaçanã,JAÇANÃ,95,"98,70"
NORTE,Jaçanã,TREMEMBÉ,212,"93,20"
NORTE,Perus,ANHANGUERA,129,"147,70"
NORTE,Perus,PERUS,72,"79,20"
NORTE,Pirituba,JARAGUA,89,"41,10"
NORTE,Pirituba,PIRITUBA,269,"156,90"
NORTE,Pirituba,SÃO DOMINGOS,88,"101,60"
NORTE,Santana,MANDAQUI,131,"119,80"
NORTE,Santana,SANTANA,125,"111,50"
NORTE,Santana,TUCURUVI,118,"123,20"
NORTE,Vila Maria,VILA GUILHERME,99,"172,60"
NORTE,Vila Maria,VILA MARIA,178,"156,00"
NORTE,Vila Maria,VILA MEDEIROS,89,"72,50"
OESTE,Butantã,BUTANTA,70,"130,70"
OESTE,Butantã,MORUMBI,55,"102,50"
OESTE,Butantã,RAPOSO TAVARES,233,"214,70"
OESTE,Butantã,RIO PEQUENO,86,"69,20"
OESTE,Butantã,VILA SONIA,92,"74,60"
OESTE,Lapa/ Pinheiros,ALTO DE PINHEIROS,112,"276,90"
OESTE,Lapa/ Pinheiros,BARRA FUNDA,39,"235,30"
OESTE,Lapa/ Pinheiros,ITAIM BIBI,226,"232,40"
OESTE,Lapa/ Pinheiros,JAGUARA,52,"218,30"
OESTE,Lapa/ Pinheiros,JAGUARE,51,"91,20"
OESTE,Lapa/ Pinheiros,JARDIM PAULISTA,88,"97,30"
OESTE,Lapa/ Pinheiros,LAPA,121,"180,60"
OESTE,Lapa/ Pinheiros,PERDIZES,136,"118,60"
OESTE,Lapa/ Pinheiros,PINHEIROS,99,"150,80"
OESTE,Lapa/ Pinheiros,VILA LEOPOLDINA,33,"72,30"
SUDESTE,Ipiranga,CURSINO,226,"198,00"
SUDESTE,Ipiranga,IPIRANGA,226,"200,30"
SUDESTE,Ipiranga,SACOMÃ,355,"133,60"
SUDESTE,Mooca/Aricanduva,AGUA RASA,131,"159,80"
SUDESTE,Mooca/Aricanduva,ARICANDUVA,68,"79,40"
SUDESTE,Mooca/Aricanduva,BELÉM,22,"44,30"
SUDESTE,Mooca/Aricanduva,BRAS,14,"41,80"
SUDESTE,Mooca/Aricanduva,CARRÃO,75,"88,40"
SUDESTE,Mooca/Aricanduva,MOOCA,62,"76,90"
SUDESTE,Mooca/Aricanduva,PARI,11,"56,90"
SUDESTE,Mooca/Aricanduva,TATUAPÉ,60,"62,30"
SUDESTE,Mooca/Aricanduva,VILA FORMOSA,108,"115,10"
SUDESTE,Penha,ARTUR ALVIM,97,"97,40"
SUDESTE,Penha,CANGAÍBA,93,"67,20"
SUDESTE,Penha,PENHA,106,"82,20"
SUDESTE,Penha,VILA MATILDE,299,"283,50"
SUDESTE,Vila Mariana/Jabaquara,JABAQUARA,121,"52,60"
SUDESTE,Vila Mariana/Jabaquara,MOEMA,91,"101,50"
SUDESTE,Vila Mariana/Jabaquara,SAUDE,170,"126,90"
SUDESTE,Vila Mariana/Jabaquara,VILA MARIANA,120,"91,00"
SUDESTE,Vila Prudente,SÃO LUCAS,109,"76,30"
SUDESTE,Vila Prudente,SAPOPEMBA,185,"63,60"
SUDESTE,Vila Prudente,VILA PRUDENTE,91,"87,00"
SUL,Campo Limpo,CAMPO LIMPO,248,"107,10"
SUL,Campo Limpo,CAPÃO REDONDO,237,"78,80"
SUL,Campo Limpo,VILA ANDRADE,103,"61,10"
SUL,Capela do Socorro,CIDADE DUTRA,97,"47,40"
SUL,Capela do Socorro,GRAJAÚ,109,"27,60"
SUL,Capela do Socorro,SOCORRO,20,"56,00"
SUL,M'Boi Mirim,JARDIM ANGELA,354,"102,50"
SUL,M'Boi Mirim,JARDIM SÃO LUIZ,399,"134,00"
SUL,Parelheiros,MARSILAC,1,"11,80"
SUL,Parelheiros,PARELHEIROS,65,"41,30"
SUL,Santo Amaro/Cidade Ademar,CAMPO BELO,133,"210,50"
SUL,Santo Amaro/Cidade Ademar,CAMPO GRANDE,125,"116,40"
SUL,Santo Amaro/Cidade Ademar,CIDADE ADEMAR,277,"96,00"
SUL,Santo Amaro/Cidade Ademar,PEDREIRA,116,"70,80"
SUL,Santo Amaro/Cidade Ademar,SANTO AMARO,92,"123,70"